"store_id","ME_avg","RMSE_avg","MAE_avg","MPE_avg","MAPE_avg","ME_naive","RMSE_naive","MAE_naive","MPE_naive","MAPE_naive","ME_snaive","RMSE_snaive","MAE_snaive","MPE_snaive","MAPE_snaive","ME_rwf","RMSE_rwf","MAE_rwf","MPE_rwf","MAPE_rwf","ME_avgmodels","RMSE_avgmodels","MAE_avgmodels","MPE_avgmodels","MAPE_avgmodels"
"S0022","-67.09","260.834154780389","205.158","-3.69550249249497","11.3006692555565","2341.74","2355.26635771838","2341.74","55.4352457696933","55.4352457696933","-87.68","386.364221842551","338.384","-7.28985987481126","19.7122780738575","2397.328","2409.70414432976","2397.328","56.0253986564238","56.0253986564238","1146.072","1176.81939523446","1146.072","37.7942241049876","37.7942241049876"
"S0023","-644.266","747.746862072988","644.266","-23.3357842693373","23.3357842693373","7575.984","7585.48484009032","7575.984","68.9911211080857","68.9911211080857","-4.45199999999995","1166.86369946108","868.316","-7.27701649249574","23.7090335357888","7778.626","7790.48876859597","7778.626","69.5381409639999","69.5381409639999","3676.474","3715.49794051618","3676.474","51.7788794188366","51.7788794188366"
"S0026","-2369.376","2628.2174856659","2369.376","-27.0594711392411","27.0594711392411","26059.914","26084.7216241611","26059.914","70.0809052568113","70.0809052568113","-3394.914","3539.67186090745","3394.914","-44.5373887369163","44.5373887369163","26749.644","26765.8880087331","26749.644","70.6421187092187","70.6421187092187","11761.318","11804.5091102705","11761.318","51.4155176738429","51.4155176738429"
"S0030","-251.466","270.703439394478","251.466","-81.3937530344716","81.3937530344716","846.394","852.307459887569","846.394","60.1640591124601","60.1640591124601","-271.6","286.953808756741","271.6","-111.575448974826","111.575448974826","873.43","879.83084163946","873.43","60.8877046671723","60.8877046671723","299.188","313.48152845104","299.188","34.8822415397733","34.8822415397733"
"S0032","-100.806","133.298474935012","113.39","-15.7293096991637","17.6928598177506","1295.194","1298.12716303912","1295.194","63.5871529005145","63.5871529005145","-135.318","143.346322799017","135.318","-24.4671863161041","24.4671863161041","1328.772","1331.37533716079","1328.772","64.1864361793801","64.1864361793801","596.958","600.219288543779","596.958","44.6963292098219","44.6963292098219"
"S0036","-369.318","455.507972685441","391.666","-29.7450890376205","31.5450101078439","4197.992","4206.45082701795","4197.992","72.2680291689333","72.2680291689333","-317.394","340.201471219629","317.394","-25.3026451619582","25.3026451619582","4395.092","4404.8230543939","4395.092","73.163573209095","73.163573209095","1976.592","1988.67171107752","1976.592","55.1877175477584","55.1877175477584"
"S0038","-2332.228","2468.77928779387","2332.228","-34.0580127077124","34.0580127077124","10715.532","10746.0788090764","10715.532","53.8588841636606","53.8588841636606","-879.68","2027.40974385544","1822.868","-14.0848119869557","22.7026672453997","11080.688","11107.6184064938","11080.688","54.697795550517","54.697795550517","4646.076","4736.68930420394","4646.076","33.5406989615363","33.5406989615363"
"S0039","-200.934","262.516525460779","200.934","-37.4332128618801","37.4332128618801","1582.976","1591.9652855386","1582.976","68.2114371156854","68.2114371156854","-109.638","214.054817418343","164.998","-23.8779371924683","31.706893673285","1620.806","1628.51677523445","1620.806","68.7535724484001","68.7535724484001","723.302","740.641093850456","723.302","49.5752835293262","49.5752835293262"
"S0040","-679.14","877.720677550666","713.476","-20.184146080506","21.204617323284","8026.94","8046.17475647901","8026.94","66.4988236073831","66.4988236073831","-257.764","364.131164609677","311.272","-7.10924666619749","8.31912047374552","8253.356","8268.34344340388","8253.356","67.1374672843507","67.1374672843507","3835.848","3859.41929166034","3835.848","48.7831221321362","48.7831221321362"
"S0041","35.412","74.760611554481","65.784","14.5453051836031","27.0204551055615","41.502","77.8302980850003","69.438","16.6307353235825","27.8252855139251","21.182","63.4037120364415","45.038","7.02599282528413","19.9277825358667","41.148","77.5082124680991","69.132","16.5290134114373","27.7481931412213","34.812","68.5860283148106","56.24","14.8801261485175","22.9412201218829"
"S0045","-132.348","196.852954054543","162.8","-18.5094331706362","22.7682754569738","1401.422","1408.9778970942","1401.422","62.3186588402704","62.3186588402704","-1.89400000000001","171.727392980852","138.214","-3.06756867289271","15.9643907312083","1440.09","1445.92458324077","1440.09","62.9984990700413","62.9984990700413","676.82","688.406970011199","676.82","44.5186118896908","44.5186118896908"
"S0046","104.628","226.285715501443","210.836","8.28120053188122","16.6874564680555","5938.318","5941.7067308796","5938.318","83.6721040758729","83.6721040758729","606.92","682.960870885002","606.92","31.9013662046145","31.9013662046145","6218.468","6219.65480390994","6218.468","84.3264013044995","84.3264013044995","3217.084","3218.35195248748","3217.084","73.6269718371104","73.6269718371104"
"S0050","-898.01","937.939835032077","898.01","-53.4781236414743","53.4781236414743","5072.02","5079.24168104255","5072.02","66.3075024446873","66.3075024446873","-820.544","893.81642866978","820.544","-48.8723600638911","48.8723600638911","5220.902","5231.49465936266","5220.902","66.9214616896512","66.9214616896512","2143.59","2163.99136130901","2143.59","45.3735626749346","45.3735626749346"
"S0052","-172.776","286.508736620718","221.516","-15.0429672195377","19.2865787297027","1948.224","1961.58417208133","1948.224","59.5869156305914","59.5869156305914","-159.914","470.208694623994","397.598","-20.9201484302096","35.8536822467633","1999.64","2011.14612511374","1999.64","60.2405099595053","60.2405099595053","903.792","944.686730974877","903.792","40.381043366926","40.381043366926"
