"store_id","ME_ses","RMSE_ses","MAE_ses","MPE_ses","MAPE_ses","ME_holt","RMSE_holt","MAE_holt","MPE_holt","MAPE_holt","ME_holtdamped","RMSE_holtdamped","MAE_holtdamped","MPE_holtdamped","MAPE_holtdamped","ME_ets","RMSE_ets","MAE_ets","MPE_ets","MAPE_ets","ME_stlf","RMSE_stlf","MAE_stlf","MPE_stlf","MAPE_stlf"
"S0073","1502.116","1511.27830006257","1502.116","51.0807401034458","51.0807401034458","204.386","305.499517610094","277.706","11.882777983075","16.5298725982256","148.988","270.020180060676","243.596","8.79988254528879","15.0055576997616","2499.056","2504.57391863766","2499.056","63.4663158616521","63.4663158616521","590.436","669.611913334881","590.436","28.061184856204","28.061184856204"
"S0076","-356.228","369.765802637291","356.228","-32.2118836412301","32.2118836412301","-304.664","318.937703446927","304.664","-26.3139058754313","26.3139058754313","-362.892","376.188820939698","362.892","-33.0133725514326","33.0133725514326","-354.928","368.513562844029","354.928","-32.0566479104761","32.0566479104761","NaN","NaN","NaN","NaN","NaN"
"S0077","-34.244","105.329299437526","95.016","-7.54705337858686","20.9406267906731","-30.092","103.872556529624","94.02","-6.56289185390876","20.5307456399985","-35.584","105.772542940028","95.284","-7.86560565870911","21.0618921308576","-34.194","105.313054366493","95.006","-7.53520350823068","20.9361158245003","-4.41799999999999","83.5281524996213","74.006","-1.18972139294355","14.5178877528078"
"S0080","468.9","503.006088034727","468.9","20.4466072760096","20.4466072760096","450.074","480.787193236259","450.074","19.8310211132305","19.8310211132305","427.75","464.255927285802","427.75","18.998789012488","18.998789012488","232.874","286.35450731567","232.874","11.3805523785534","11.3805523785534","86.828","138.577382281525","110.048","4.74659610567735","5.93188262648878"
"S0083","200.604","235.34095810122","210.168","22.1644734661407","23.2211873114787","241.692","271.463422140074","241.692","25.5368151222175","25.5368151222175","203.952","238.21010180091","212.168","22.4510813746162","23.3554889304262","624.24","644.897003652521","624.24","46.6603063590422","46.6603063590422","272.186","423.200300354336","311.486","21.6396820468847","26.3704610003353"
"S0085","10481.704","10718.9365815849","10481.704","35.2613965279899","35.2613965279899","10716.61","10977.9086133808","10716.61","35.7328331128564","35.7328331128564","10347.632","10588.2844227854","10347.632","34.9675804932804","34.9675804932804","18985.334","19117.332182812","18985.334","49.6616709413056","49.6616709413056","4964.31","5660.49357925438","4964.31","20.2803605577279","20.2803605577279"
"S0086","484.124","489.102971530536","484.124","51.2582585126207","51.2582585126207","549.764","556.468697089064","549.764","54.2967017426975","54.2967017426975","543.426","550.032389937175","543.426","54.0165283513497","54.0165283513497","410.394","416.255816319724","410.394","47.1310938845823","47.1310938845823","66.394","102.379869408004","72.542","12.339701524507","13.5008894570937"
"S0088","1849.892","1858.35597228303","1849.892","65.2885392512908","65.2885392512908","1841.512","1850.71894284356","1841.512","65.1698468229355","65.1698468229355","1867.786","1876.88738272172","1867.786","65.4904234757476","65.4904234757476","2819.682","2825.24212930149","2819.682","74.1397244425747","74.1397244425747","829.022","886.107436815649","829.022","44.7535688370835","44.7535688370835"
"S0089","49.928","76.8640313800935","66.604","8.33174801835628","11.1145598664998","65.99","82.901029064783","73.094","10.8301173958939","11.9700769581391","74.958","89.5766722980934","77.9620000000001","12.1204413421534","12.5946847471074","109.828","119.676355225249","109.828","16.7773125999852","16.7773125999852","76.096","108.821357462586","76.096","11.3188297525365","11.3188297525365"
"S0091","3299.088","3308.22037715748","3299.088","63.2670954676731","63.2670954676731","4558.188","4610.65738134162","4558.188","70.1718909658386","70.1718909658386","4497.238","4545.22423718126","4497.238","69.9145357523401","69.9145357523401","6914.59","7132.11012141708","6914.59","77.5621563780826","77.5621563780826","1605.044","1700.38622653796","1605.044","44.6655005822497","44.6655005822497"
"S0092","1761.096","1767.18934507879","1761.096","58.9486227661163","58.9486227661163","1809.258","1819.9721842325","1809.258","59.5093664753258","59.5093664753258","1592.984","1599.74938497253","1592.984","56.5002206083967","56.5002206083967","2161.076","2166.04444504724","2161.076","63.7957898030695","63.7957898030695","NaN","NaN","NaN","NaN","NaN"
"S0094","4674.29","4736.48510001034","4674.29","45.6925650081575","45.6925650081575","4737.64","4806.73356631299","4737.64","45.9917776322275","45.9917776322275","5064.034","5145.04380629553","5064.034","47.5790209277445","47.5790209277445","5001.8","5059.97108079878","5001.8","47.3772848945477","47.3772848945477","3669.782","3704.38708222291","3669.782","39.9458535361384","39.9458535361384"
"S0095","-399.882","634.638220390168","493.19","-5.69051268149198","7.01833028089544","-510.742","718.841740287805","533.69","-7.39928415864477","7.73009808950368","-397.85","633.451102564357","492.782","-5.66007679110054","7.0106044214041","-412.322","642.549210986988","495.678","-5.87794540916044","7.06624488754378","304.956","744.54108284231","628.792","3.63169129020083","8.05508775885667"
"S0097","3292.6","3491.62642894683","3292.6","25.8405679494082","25.8405679494082","2806.93","3050.89153288346","2806.93","22.8745655531422","22.8745655531422","3740.758","3892.16122272703","3740.758","28.3948424923233","28.3948424923233","6371.092","6457.79899106809","6371.092","40.3089615560108","40.3089615560108","953.35","1601.15847142624","1209.938","8.312287130158","10.7336710450376"
"S0099","1101.41","1110.22219984109","1101.41","67.1096325272208","67.1096325272208","1382.62","1405.95399569118","1382.62","71.3971026059262","71.3971026059262","1276.646","1296.1413549378","1276.646","69.8635774104903","69.8635774104903","1175.67","1183.92959833767","1175.67","68.53340483949","68.53340483949","292.536","303.194935973542","292.536","35.7581122384318","35.7581122384318"
"S0102","1360.334","1386.38372269008","1360.334","39.3702879403108","39.3702879403108","1481.374","1502.31475258016","1481.374","41.4572947185456","41.4572947185456","1329.182","1355.77208136914","1329.182","38.8193574481039","38.8193574481039","4889.984","4897.29463635179","4889.984","70.0081318505114","70.0081318505114","908.5","1070.19719130635","946.044","28.5683472619174","30.0508993174854"
"S0104","9614.972","9663.24125857365","9614.972","58.4248871907239","58.4248871907239","9689.628","9727.69880439973","9689.628","58.6482720695331","58.6482720695331","9358.528","9407.91829638842","9358.528","57.7674784081634","57.7674784081634","17524.452","17550.9818232747","17524.452","71.9203856448577","71.9203856448577","7092.034","7106.79942357599","7092.034","51.1001607783772","51.1001607783772"
"S0107","-29.7599999999999","304.615584565202","242.612","-2.40640414005013","19.617692245492","159.668","339.806377574053","283.008","11.2431409618973","19.8627702912797","2.54799999999996","302.919909943206","248.852","0.205473490967096","19.6098107034283","-59.0599999999999","308.857702445641","240.648","-4.89150240185522","19.931091601789","45.886","376.64300840451","317.326","1.33669820333356","23.0885452517681"
"S0108","10034.894","10068.524185078","10034.894","72.1854325596786","72.1854325596786","10019.024","10051.8368279136","10019.024","72.159849199378","72.159849199378","9835.264","9869.54415379353","9835.264","71.7803481640678","71.7803481640678","16205.294","16226.1404930655","16205.294","80.7360221602784","80.7360221602784","5268.116","5287.78576332665","5268.116","57.9553140659154","57.9553140659154"
"S0109","3341.28","3362.77624978529","3341.28","66.7049973647645","66.7049973647645","9198.39","9629.79808925504","9198.39","83.5273044460821","83.5273044460821","7864.908","8109.37640215818","7864.908","81.7388433103257","81.7388433103257","9199.106","9630.54305619678","9199.106","83.5283760512347","83.5283760512347","NaN","NaN","NaN","NaN","NaN"
"S0120","-0.234000000000026","90.2621102124253","81.014","-0.0477590007347599","16.5348191689118","18.916","91.3110545333915","78.168","3.74751157104321","15.3739577413909","-3.36000000000001","90.2867620418409","81.596","-0.68874292737681","16.760993881196","-68.234","113.150663011756","94.614","-16.1707270831359","22.4225045027965","-17.234","57.7851802800684","51.566","-4.12949553490389","10.6775713465619"
"S0122","1827.436","1873.56714739558","1827.436","48.8794380874431","48.8794380874431","1852.426","1896.78992480981","1852.426","49.2339304680502","49.2339304680502","1885.046","1928.45129805759","1885.046","49.6725037441059","49.6725037441059","1295.816","1360.09949178727","1295.816","40.4053582119337","40.4053582119337","275.136","519.581787325153","431.088","12.2896556819916","19.355643321769"
"S0126","1965.93","2120.34771745108","1965.93","34.9687031414255","34.9687031414255","2022.484","2164.03696488761","2022.484","35.6755020652956","35.6755020652956","1919.114","2076.8305119051","1919.114","34.4238527052584","34.4238527052584","3053.38","3155.01554709323","3053.38","45.5088517338309","45.5088517338309","303.474","928.364972357316","809.77","6.7108764181732","20.0585866205654"
"S0131","5289.196","5292.85445036608","5289.196","74.39387205122","74.39387205122","5380.076","5383.13788282634","5380.076","74.7243747446781","74.7243747446781","5282.412","5286.06813858089","5282.412","74.369489230178","74.369489230178","4888.746","4892.70389037187","4888.746","72.8655427490621","72.8655427490621","1108.934","1122.37536107133","1108.934","37.8868781071313","37.8868781071313"
"S0132","8331.058","8337.92696415722","8331.058","72.3030858995644","72.3030858995644","8452.476","8457.71479442526","8452.476","72.6030863268017","72.6030863268017","8254.53","8261.43363256887","8254.53","72.1180852307209","72.1180852307209","10853.828","10859.1012940224","10853.828","77.2779558538944","77.2779558538944","4715.004","4737.9010289241","4715.004","59.6513691617162","59.6513691617162"
"S0136","1260.984","1290.41570381021","1260.984","85.433677963116","85.433677963116","1502.762","1546.27623891076","1502.762","86.6083157517143","86.6083157517143","1485.288","1521.71023257386","1485.288","86.7949008589452","86.7949008589452","1247.394","1277.13892416604","1247.394","85.2983130355104","85.2983130355104","729.952","739.847491284521","729.952","81.4578953679146","81.4578953679146"
"S0141","123.78","152.635834193678","126.736","25.4408681711678","26.048423562297","126.69","154.719990628231","129.158","25.9022017917245","26.4081883424872","117.158","147.290659242194","122.814","24.4137491762325","25.5925982560383","222.45","239.708598051885","222.45","38.0119956938535","38.0119956938535","91.278","109.559471795003","91.278","20.9793665181803","20.9793665181803"
"S0142","3090.392","3101.76224504716","3090.392","66.191859219849","66.191859219849","3060.482","3069.32358112011","3060.482","66.0124753969018","66.0124753969018","3037.758","3049.26310758845","3037.758","65.8072577681771","65.8072577681771","7184.012","7188.91053827212","7184.012","81.9862458715931","81.9862458715931","1616.036","1637.51695740838","1616.036","50.6169970637846","50.6169970637846"
"S0143","39.474","142.829422669141","121.118","5.55064964283705","17.0310478654592","41.678","144.123173778543","123.53","5.82221367164222","17.3402818918381","36.942","142.166459124507","119.622","5.2127194407071","16.8812913531505","89.514","163.874352782856","151.142","11.7595901208618","19.8557540725171","-45.196","227.838211544947","188.048","-11.9504736465375","28.4802522883028"
