store_id,date,summed_revenue
S0002,2018-07-27,449.78000000000003
S0002,2018-07-28,272.01
S0002,2018-07-29,372.76
S0002,2018-07-30,349.7
S0002,2018-07-31,382.19
S0002,2018-08-01,311.51
S0002,2018-08-02,342.3
S0002,2018-08-03,195.86
S0002,2018-08-04,374.37
S0002,2018-08-05,654.65
S0002,2018-08-06,288.95
S0002,2018-08-07,398.54
S0002,2018-08-08,445.32000000000005
S0002,2018-08-09,283.48
S0002,2018-08-10,335.24
S0002,2018-08-11,804.49
S0002,2018-08-12,662.7
S0002,2018-08-13,460.39
S0002,2018-08-14,294.73
S0002,2018-08-15,503.74
S0002,2018-08-16,291.49
S0002,2018-08-17,370.5
S0002,2018-08-18,655.61
S0002,2018-08-19,630.18
S0002,2018-08-20,512.09
S0002,2018-08-21,78.64
S0002,2018-08-22,157.11
S0002,2018-08-23,390.85
S0002,2018-08-24,364.74
S0002,2018-08-25,299.51
S0002,2018-08-26,349.43
S0002,2018-08-27,296.2
S0002,2018-08-28,287.23
S0002,2018-08-29,282.87
S0002,2018-08-30,394.18
S0002,2018-08-31,278.87
S0002,2018-09-01,484.44
S0002,2018-09-02,357.8
S0002,2018-09-03,250.35
S0002,2018-09-04,429.19
S0002,2018-09-05,561.15
S0002,2018-09-06,450.08
S0002,2018-09-07,311.11
S0002,2018-09-08,333.97
S0002,2018-09-09,569.13
S0002,2018-09-10,320.03
S0002,2018-09-11,2404.54
S0002,2018-09-12,1739.8
S0002,2018-09-13,365.82
S0002,2018-09-14,313.06
S0002,2018-09-15,677.15
S0002,2018-09-16,512.75
S0002,2018-09-17,224.62
S0002,2018-09-18,401.61
S0002,2018-09-19,325.2
S0002,2018-09-20,432.66
S0002,2018-09-21,308.23
S0002,2018-09-22,585.06
S0002,2018-09-23,476.35
S0002,2018-09-24,227.14
S0002,2018-09-25,372.08
S0002,2018-09-26,210.48
S0002,2018-09-27,350.58
S0002,2018-09-28,476.98
S0002,2018-09-29,451.77
S0002,2018-09-30,652.08
S0002,2018-10-01,354.69
S0002,2018-10-02,596.58
S0002,2018-10-03,415.08
S0002,2018-10-04,436.26
S0002,2018-10-05,526.13
S0002,2018-10-06,511.11
S0002,2018-10-07,874.65
S0002,2018-10-08,382.66
S0002,2018-10-09,935.6800000000001
S0002,2018-10-10,575.43
S0002,2018-10-11,352.0
S0002,2018-10-12,300.53000000000003
S0002,2018-10-13,1093.97
S0002,2018-10-14,819.63
S0002,2018-10-15,682.72
S0002,2018-10-16,520.73
S0002,2018-10-17,539.1800000000001
S0002,2018-10-18,359.83
S0002,2018-10-19,387.06
S0002,2018-10-20,568.89
S0002,2018-10-21,579.75
S0002,2018-10-22,292.04
S0002,2018-10-23,276.14
S0002,2018-10-24,338.44
S0002,2018-10-25,301.23
S0002,2018-10-26,379.69
S0002,2018-10-27,452.71
S0002,2018-10-28,548.31
S0002,2018-10-29,418.69
S0002,2018-10-30,373.75
S0002,2018-10-31,196.74
S0002,2018-11-01,460.34999999999997
S0002,2018-11-02,348.90999999999997
S0002,2018-11-03,379.62
S0002,2018-11-04,652.44
S0002,2018-11-05,393.36
S0002,2018-11-06,294.63
S0002,2018-11-07,270.88
S0002,2018-11-08,270.48
S0002,2018-11-09,432.69
S0002,2018-11-10,334.19
S0002,2018-11-11,565.24
S0002,2018-11-12,202.01
S0002,2018-11-13,302.69
S0002,2018-11-14,404.15999999999997
S0002,2018-11-15,375.06
S0002,2018-11-16,366.17
S0002,2018-11-17,375.65999999999997
S0002,2018-11-18,525.19
S0002,2018-11-19,284.9
S0002,2018-11-20,325.01
S0002,2018-11-21,208.8
S0002,2018-11-22,280.96
S0002,2018-11-23,372.62
S0002,2018-11-24,626.29
S0002,2018-11-25,508.52
S0002,2018-11-26,355.59
S0002,2018-11-27,282.25
S0002,2018-11-28,267.51
S0002,2018-11-29,454.04
S0002,2018-11-30,311.58
S0002,2018-12-01,446.91
S0002,2018-12-02,493.1
S0002,2018-12-03,469.06
S0002,2018-12-04,318.21999999999997
S0002,2018-12-05,299.81
S0002,2018-12-06,263.33
S0002,2018-12-07,313.49
S0002,2018-12-08,789.2
S0002,2018-12-09,670.09
S0002,2018-12-10,397.02
S0002,2018-12-11,507.03
S0002,2018-12-12,418.53999999999996
S0002,2018-12-13,430.78
S0002,2018-12-14,353.26
S0002,2018-12-15,656.9
S0002,2018-12-16,686.53
S0002,2018-12-17,358.87
S0002,2018-12-18,534.04
S0002,2018-12-19,317.12
S0002,2018-12-20,306.21999999999997
S0002,2018-12-21,384.31
S0002,2018-12-22,704.61
S0002,2018-12-23,941.44
S0002,2018-12-24,414.94
S0002,2018-12-25,265.09
S0002,2018-12-26,301.58
S0002,2018-12-27,279.13
S0002,2018-12-28,339.56
S0002,2018-12-29,634.54
S0002,2018-12-30,706.35
S0002,2018-12-31,1101.8700000000001
S0002,2019-01-01,521.38
S0002,2019-01-02,307.13
S0002,2019-01-03,297.25
S0002,2019-01-04,445.34
S0002,2019-01-05,594.91
S0002,2019-01-06,387.2
S0002,2019-01-07,258.13
S0002,2019-01-08,281.57
S0002,2019-01-09,241.13
S0002,2019-01-10,358.68
S0002,2019-01-11,486.0
S0002,2019-01-12,824.65
S0002,2019-01-13,603.67
S0002,2019-01-14,1401.87
S0002,2019-01-15,1437.76
S0002,2019-01-16,301.09000000000003
S0002,2019-01-17,355.66
S0002,2019-01-18,421.83
S0002,2019-01-19,401.82
S0002,2019-01-20,677.75
S0002,2019-01-21,431.58
S0002,2019-01-22,343.37
S0002,2019-01-23,613.62
S0002,2019-01-24,580.85
S0002,2019-01-25,439.28000000000003
S0002,2019-01-26,526.98
S0002,2019-01-27,645.06
S0002,2019-01-28,478.66999999999996
S0002,2019-01-29,338.7
S0002,2019-01-30,256.4
S0002,2019-01-31,403.67
S0002,2019-02-01,435.18
S0002,2019-02-02,1510.17
S0002,2019-02-03,674.06
S0002,2019-02-04,589.9399999999999
S0002,2019-02-05,967.37
S0002,2019-02-06,904.01
S0002,2019-02-07,633.85
S0002,2019-02-08,531.36
S0002,2019-02-09,815.1
S0002,2019-02-10,1398.4
S0002,2019-02-11,561.91
S0002,2019-02-12,487.58
S0002,2019-02-13,569.59
S0002,2019-02-14,653.8199999999999
S0002,2019-02-15,724.18
S0002,2019-02-16,946.29
S0002,2019-02-17,599.14
S0002,2019-02-18,479.4
S0002,2019-02-19,523.5
S0002,2019-02-20,293.62
S0002,2019-02-21,497.34
S0002,2019-02-22,631.1700000000001
S0002,2019-02-23,609.24
S0002,2019-02-24,649.2900000000001
S0002,2019-02-25,232.83
S0002,2019-02-26,384.21
S0002,2019-02-27,315.85
S0002,2019-02-28,378.84
S0002,2019-03-01,516.69
S0002,2019-03-02,780.78
S0002,2019-03-03,938.38
S0002,2019-03-04,507.25
S0002,2019-03-05,517.79
S0002,2019-03-06,472.45
S0002,2019-03-07,197.76
S0002,2019-03-08,457.71
S0002,2019-03-09,1416.44
S0002,2019-03-10,1028.44
S0002,2019-03-11,638.28
S0002,2019-03-12,336.65
S0002,2019-03-13,323.61
S0002,2019-03-14,392.17
S0002,2019-03-15,510.99
S0002,2019-03-16,835.17
S0002,2019-03-17,947.86
S0002,2019-03-18,506.3
S0002,2019-03-19,421.51
S0002,2019-03-20,502.11
S0002,2019-03-21,341.86
S0002,2019-03-22,389.17
S0002,2019-03-23,452.55
S0002,2019-03-24,962.3399999999999
S0002,2019-03-25,304.67
S0002,2019-03-26,624.78
S0002,2019-03-27,322.28000000000003
S0002,2019-03-28,318.16999999999996
S0002,2019-03-29,404.58
S0002,2019-03-30,802.87
S0002,2019-03-31,392.63
S0002,2019-04-01,319.78
S0002,2019-04-02,671.51
S0002,2019-04-03,474.52
S0002,2019-04-04,413.9
S0002,2019-04-05,513.15
S0002,2019-04-06,719.84
S0002,2019-04-07,481.86
S0002,2019-04-08,452.38
S0002,2019-04-09,585.7
S0002,2019-04-10,614.08
S0002,2019-04-11,359.81
S0002,2019-04-12,540.05
S0002,2019-04-13,545.53
S0002,2019-04-14,551.1700000000001
S0002,2019-04-15,419.12
S0002,2019-04-16,557.98
S0002,2019-04-17,352.46
S0002,2019-04-18,363.69
S0002,2019-04-19,528.52
S0002,2019-04-20,780.21
S0002,2019-04-21,745.28
S0002,2019-04-22,439.22
S0002,2019-04-23,409.98
S0002,2019-04-24,276.27
S0002,2019-04-25,345.88
S0002,2019-04-26,351.7
S0002,2019-04-27,374.09000000000003
S0002,2019-04-28,476.71
S0002,2019-04-29,407.85
S0002,2019-04-30,324.82
S0002,2019-05-01,535.37
S0002,2019-05-02,404.32
S0002,2019-05-03,328.5
S0002,2019-05-04,607.5799999999999
S0002,2019-05-05,1122.8999999999999
S0002,2019-05-06,358.98
S0002,2019-05-07,507.13
S0002,2019-05-08,556.8000000000001
S0002,2019-05-09,608.4
S0002,2019-05-10,470.0
S0002,2019-05-11,838.57
S0002,2019-05-12,1974.22
S0002,2019-05-13,419.08
S0002,2019-05-14,445.54
S0002,2019-05-15,322.25
S0002,2019-05-16,279.39
S0002,2019-05-17,381.12
S0002,2019-05-18,447.76
S0002,2019-05-19,630.04
S0002,2019-05-20,433.95
S0002,2019-05-21,350.27
S0002,2019-05-22,295.68
S0002,2019-05-23,404.02
S0002,2019-05-24,323.51
S0002,2019-05-25,362.95
S0002,2019-05-26,494.05
S0002,2019-05-27,317.38
S0002,2019-05-28,260.86
S0002,2019-05-29,557.55
S0002,2019-05-30,453.93
S0002,2019-05-31,540.5
S0002,2019-06-01,874.29
S0002,2019-06-02,1145.09
S0002,2019-06-03,1170.82
S0002,2019-06-04,303.64
S0002,2019-06-05,297.01
S0002,2019-06-06,406.62
S0002,2019-06-07,455.2
S0002,2019-06-08,386.87
S0002,2019-06-09,653.9399999999999
S0002,2019-06-10,526.68
S0002,2019-06-11,448.26
S0002,2019-06-12,584.97
S0002,2019-06-13,584.4
S0002,2019-06-14,458.85
S0002,2019-06-15,802.77
S0002,2019-06-16,505.66
S0002,2019-06-17,1530.76
S0002,2019-06-18,954.6600000000001
S0002,2019-06-19,431.88
S0002,2019-06-20,720.02
S0002,2019-06-21,636.23
