"store_id","date","summed_revenue","ses_revenue","hold_revenue","hold_damped_revenue","ets_revenue","stlf_revenue"
"S0091",2019-09-15,1948.84,5214.53752556701,6473.63999969337,6422.23521813734,8830.04177631337,4581.93714935691
"S0091",2019-09-22,1933.67,5214.53752556701,6971.12864444068,6889.91440947382,10091.66713318,3343.34574402041
"S0091",2019-09-29,1884.25,5214.53752556701,7468.617289188,7348.2399323871,11353.2924900467,3266.29974223736
"S0092",2019-09-01,1515.18,2987.51324410759,2933.49706752698,2818.56955461106,3387.48780171119,NA
"S0092",2019-09-08,1113.3,2987.51324410759,2984.58466816772,2819.02830065663,3387.48780171119,NA
"S0092",2019-09-15,1143.27,2987.51324410759,3035.67226880846,2819.43985968568,3387.48780171119,NA
"S0092",2019-09-22,1172.32,2987.51324410759,3086.7598694492,2819.8090853957,3387.48780171119,NA
"S0092",2019-09-29,1188,2987.51324410759,3137.84747008994,2820.14033222864,3387.48780171119,NA
"S0094",2019-09-01,5439.29,10229.8653068261,10167.5622571621,10267.7395703449,10557.382870451,8827.81384664744
"S0094",2019-09-08,6103.24,10229.8653068261,10230.391102508,10447.2310762112,10557.382870451,9248.16806056418
"S0094",2019-09-15,6713.85,10229.8653068261,10293.2199478539,10623.1327452569,10557.382870451,9968.22080838559
"S0094",2019-09-22,4697.52,10229.8653068261,10356.0487931997,10795.5163743524,10557.382870451,8941.24637389022
"S0094",2019-09-29,4824,10229.8653068261,10418.8776385456,10964.4523244282,10557.382870451,9141.35616285343
"S0095",2019-09-01,7524.66,7027.16858859048,6957.35172116929,7029.61190545091,7014.72594943093,7008.96963356446
"S0095",2019-09-08,6879.46,7027.16858859048,6936.83248537166,7029.39722681544,7014.72594943093,7865.16922644784
"S0095",2019-09-15,7554.36,7027.16858859048,6916.31324957402,7029.19207874829,7014.72594943093,7709.87587598944
"S0095",2019-09-22,6941.61,7027.16858859048,6895.79401377639,7028.99603814387,7014.72594943093,8134.7487492274
"S0095",2019-09-29,8235.17,7027.16858859048,6875.27477797876,7028.80870068017,7014.72594943093,7941.26640604278
"S0097",2019-09-01,8932.42,12741.9772943694,12362.2877073947,12561.1623092457,15169.9230742615,8946.09122492239
"S0097",2019-09-08,9015.68,12741.9772943694,12309.299268323,12945.0587965568,15495.1976343127,9864.06184336007
"S0097",2019-09-15,10201.75,12741.9772943694,12256.3108292514,13252.1760068608,15820.4721943639,13297.4213390175
"S0097",2019-09-22,7858.83,12741.9772943694,12203.3223901797,13497.8697914681,16145.7467544151,9309.32692463827
"S0097",2019-09-29,11238.22,12741.9772943694,12150.333951108,13694.4248322453,16471.0213144663,10596.7534562739
"S0099",2019-09-01,809.66,1641.21107933466,1723.31133323215,1661.50172190213,1715.47484806819,1004.6193566279
"S0099",2019-09-08,443.5,1641.21107933466,1822.86516425513,1749.63227869799,1715.47484806819,871.947929394518
"S0099",2019-09-15,525.33,1641.21107933466,1922.41899527811,1826.39007361682,1715.47484806819,816.643560775572
"S0099",2019-09-22,425.01,1641.21107933466,2021.97282630109,1893.2426988016,1715.47484806819,738.139063777811
"S0099",2019-09-29,495.5,1641.21107933466,2121.52665732407,1951.46836173035,1715.47484806819,730.325797137258
"S0102",2019-09-01,1920.74,3455.23210467462,3543.9030216353,3423.43062527911,6984.88036893166,3006.77969821203
"S0102",2019-09-08,1942.88,3455.23210467462,3560.08601988991,3423.82172555722,6984.88036893166,3595.60274290791
"S0102",2019-09-15,1970.74,3455.23210467462,3576.26901814452,3424.13875241495,6984.88036893166,2863.00782731933
"S0102",2019-09-22,2013.87,3455.23210467462,3592.45201639913,3424.39573517397,6984.88036893166,3019.19615810247
